z	Korr	Ep	BV	Bel	Gattung	Bezirk	Wagennr.	Id	OVP	Herst	Art.-Nr.	Set	LüP	Datum	KP	Quelle	Zugschluss	Zuglauf	Anmerkung
		II	DRG	-	Pw4ü-37	Berlin	105 728	P179		Tr	15801.1	15801	135		3,1225	ebay		 Berlin Leb - Hamburg Altona	 Loch in einer Stirnseite, Kupplungsfederstäbe fehlten
		II	DRG	-	Post4ü-39	München	4896	P180		Tr	15716		143		25,0533021786147	SMDV			
		II	DRG	-	AB4ü-38	München	11 699	P181		Tr	13721.1	13721	133		20,3494168716095	idee+spiel Nürnberg		München Hbf - Berlin Ahb	
		II	DRG	x	AB4ü-38	Berlin	11 703	P182		Tr	15802.1	15802	133		3,1225	ebay		 Berlin Leb - Hamburg Altona	Loch in einer Stirnseite, Trittbrett verbogen
		II	DRG	-	BC4ü-39	Berlin	215 533	P183		Tr	15802.2	15802	133		3,1225	ebay		 Berlin Leb - Hamburg Altona	Loch in einer Stirnseite, 1 Trittbrett abgebrochen, 2 Trittbretter angebrochen und verbogen, 1 Faltenbalg fehlt
		II	DRG	-	ABC4ü-39	München	214 016	P184		Tr	13721.2	13721	136		20,3494168716095	idee+spiel Nürnberg		München Hbf - Berlin Ahb	
		II	DRG	-	C4ü-38	Berlin	19 225	P185		Tr	15803		133		3,1225	ebay		 Berlin Leb - Hamburg Altona	 Loch in einer Stirnseite
		II	DRG	-	C4ü-38	München	19 347	P186		Tr	13721.3	13721	133		20,3494168716095	idee+spiel Nürnberg		München Hbf - Berlin Ahb	
		II	DRG	-	C4ü-38	München	19 224	P187		Tr	15713.1	15713	133	01.07.2004	16	MBF Markel		München Hbf - Berlin Ahb	
		II	DRG	-	C4ü-38	München	19 224	P188		Tr	15713.1	15713	133	13.04.2002	27,605	SpMax		München Hbf - Berlin Ahb	
		II	DRG	-	C4ü-38	München	19 300	P189		Tr	15713.2	15713	133	13.04.2002	27,605	SpMax		München Hbf - Berlin Ahb	
		II	Mitropa	-	WLAB4ü 		22 079	P190		Tr	13721.4	13721	147		20,3494168716095	idee+spiel Nürnberg		Berlin - München - Berlin	
		II	Mitropa	-	WR4ü-39		1215	P191		Tr	13721.5	13721	147		20,3494168716095	idee+spiel Nürnberg		Berlin - München - Berlin	
